일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),평균 지면온도(°C)
2020-05-25,16.159999999999997,13.280000000000001,21.06,0.0,3.2199999999999998,1.28,88.34,16.080000000000002,1012.7,2.8800000000000003,19.139999999999997
2020-05-26,16.119999999999997,12.4,23.28,1.44,3.84,1.24,85.14000000000001,15.24,1009.76,4.1,19.2
2020-05-27,17.240000000000002,11.02,24.859999999999996,0.0,4.220000000000001,1.6199999999999999,72.7,13.62,1009.5600000000001,11.940000000000001,20.9
2020-05-28,17.520000000000003,12.16,23.38,0.0,3.0799999999999996,1.22,73.58,14.120000000000001,1010.1,8.68,21.32
2020-05-29,19.44,11.6,27.380000000000003,0.0,3.0,1.06,72.0,15.34,1015.32,12.120000000000001,24.72
2020-05-30,21.419999999999998,13.920000000000002,29.119999999999997,0.0,3.56,1.1,65.74,15.580000000000002,1016.5200000000001,12.16,26.559999999999995
2020-05-31,20.4,14.559999999999999,27.720000000000006,0.32,4.140000000000001,1.5,70.86000000000001,16.32,1011.8,7.38,25.259999999999998
2020-06-01,19.6,14.960000000000003,25.14,0.42000000000000004,5.84,2.72,67.38,14.66,1009.9,11.5,26.160000000000004
2020-06-02,17.339999999999996,12.620000000000001,22.740000000000002,1.8399999999999999,7.459999999999999,1.34,75.75999999999999,14.66,1008.0600000000001,1.28,19.2
2020-06-03,21.619999999999997,17.36,27.72,0.08,4.26,1.54,78.53999999999999,19.76,1004.0800000000002,9.46,27.46
2020-06-04,22.16,18.6,27.479999999999997,0.08,4.04,1.8400000000000003,83.08000000000001,21.660000000000004,1004.24,6.2,27.360000000000003
2020-06-05,22.4,17.979999999999997,28.419999999999998,0.0,2.7800000000000002,1.1400000000000001,75.25999999999999,19.7,1007.3800000000001,9.26,28.379999999999995
2020-06-06,23.459999999999997,16.580000000000002,30.080000000000002,0.0,3.2599999999999993,1.2,70.84,19.6,1008.3799999999999,10.680000000000001,29.419999999999998
2020-06-07,22.299999999999997,18.34,28.299999999999994,0.0,3.7400000000000007,1.48,75.54,19.9,1012.0799999999999,7.779999999999999,28.859999999999996
2020-06-08,24.04,18.159999999999997,31.119999999999997,0.0,3.6400000000000006,1.34,72.02000000000001,20.800000000000004,1014.9200000000001,11.06,30.98
2020-06-09,25.36,17.6,33.1,0.0,3.5799999999999996,1.28,62.9,19.28,1014.4,12.459999999999999,31.459999999999997
2020-06-10,24.7,18.979999999999997,31.8,6.980000000000001,3.2400000000000007,1.1800000000000002,72.22,21.6,1009.1600000000001,6.960000000000001,30.9
2020-06-11,25.72,21.1,31.619999999999997,0.22000000000000003,3.54,1.44,73.76000000000002,23.459999999999997,1003.68,10.2,30.560000000000002
2020-06-12,23.240000000000002,19.26,27.560000000000002,0.02,2.38,0.9,81.73999999999998,22.979999999999997,1005.3399999999999,1.94,26.22
2020-06-13,25.38,18.72,32.48,2.0,4.119999999999999,1.2000000000000002,68.14,20.68,1004.5,10.819999999999999,32.6
2020-06-14,23.619999999999997,19.200000000000003,29.079999999999995,1.6800000000000002,5.4,2.02,77.67999999999999,22.080000000000002,1004.26,7.699999999999998,29.18
2020-06-15,22.240000000000002,16.86,28.579999999999995,0.0,5.54,1.98,68.34,17.48,1006.54,10.72,28.580000000000002
2020-06-16,23.22,18.119999999999997,29.5,0.0,3.1799999999999997,1.22,69.94,19.299999999999997,1006.0,8.86,31.619999999999997
2020-06-17,22.96,17.500000000000004,29.1,0.0,3.2600000000000002,1.3399999999999999,71.52000000000001,19.419999999999998,1005.5600000000001,7.62,30.020000000000003
2020-06-18,21.8,18.12,25.880000000000003,0.0,2.78,0.9,74.92,19.34,1003.5200000000001,0.9,26.959999999999997
2020-06-19,23.82,19.360000000000003,29.46,0.27999999999999997,3.2,1.3199999999999998,70.08,20.16,1006.6200000000001,7.960000000000001,29.439999999999998
2020-06-20,23.740000000000002,18.2,30.02,0.0,3.8199999999999994,1.44,73.12,20.939999999999998,1010.26,11.72,31.76
2020-06-21,24.66,17.68,32.17999999999999,0.0,3.0599999999999996,1.22,69.88,20.68,1008.18,12.26,33.279999999999994
2020-06-22,26.46,18.76,34.720000000000006,0.0,3.2399999999999998,1.1600000000000001,63.8,20.520000000000003,1008.26,12.46,34.67999999999999
2020-06-23,25.42,20.400000000000002,30.72,0.0,2.96,1.0399999999999998,67.6,21.48,1008.5200000000001,5.14,31.5
2020-06-24,21.139999999999997,19.240000000000002,24.54,35.739999999999995,4.02,1.6799999999999997,90.47999999999999,22.439999999999998,1003.6200000000001,0.0,22.279999999999994
2020-06-25,21.080000000000002,19.34,23.5,7.419999999999999,3.0000000000000004,1.3199999999999998,95.58,23.740000000000002,1002.0799999999999,0.0,22.919999999999998
2020-06-26,21.62,18.939999999999998,26.18,1.5599999999999998,4.58,2.2,85.96000000000001,21.880000000000003,1006.54,5.44,23.900000000000002
2020-06-27,23.2,19.119999999999997,28.52,0.0,3.44,1.1600000000000001,79.56000000000002,22.16,1005.6200000000001,7.06,27.1
2020-06-28,24.0,19.3,29.68,0.0,3.46,1.3199999999999998,78.46000000000001,22.82,1004.8400000000001,10.819999999999999,29.139999999999997
2020-06-29,22.54,18.2,26.420000000000005,14.040000000000001,3.88,1.48,86.06,23.2,1002.2,1.7600000000000002,24.84
2020-06-30,19.88,17.48,22.8,37.9,5.220000000000001,2.3400000000000003,87.22,20.020000000000003,994.2,0.0,21.1
2020-07-01,20.06,16.880000000000003,24.02,0.6,2.5200000000000005,0.9200000000000002,88.7,20.580000000000002,1005.26,2.22,22.479999999999997
2020-07-02,23.16,17.959999999999997,28.8,0.12,2.68,1.02,80.22,22.159999999999997,1011.18,7.92,26.380000000000003
